# Ultima 6 Character Creation Korean Translation
# Format: KEY|KOREAN_TEXT

# === BASIC PROMPTS ===
CREATE_NAME|그대는 어떤 이름으로 불리길 원하는가?
CREATE_GENDER|그대는 남성(M)인가, 여성(F)인가?
CREATE_SEX|성별 변경
CREATE_PORTRAIT|초상화 변경
CREATE_CONTINUE|계속하기
CREATE_ESC_ABORT|취소하려면 ESC

# === GYPSY WAGON SCENE ===
GYPSY_WELCOME|"어서 오시오, 구도자여!"
GYPSY_INTRO_1|낯선 숲길을 따라 홀로 거닐던 중, 여름날의 그림자가 드리워진 이국적인 색채의 기묘한 집시 마차와 마주친다.
GYPSY_INTRO_2|한 여인의 다정한 목소리가 울려 퍼지며 그대를 마차 안으로, 그리고 새로운 삶으로 인도한다....
GYPSY_INTRO_3|"마침내 그대의 운명을 완수하러 왔구료," 집시 여인이 말한다. 그녀는 안도한 듯 미소를 짓는다. "내 앞에 앉으시오. 그대 미래의 그림자 속에 미덕의 빛을 부어주겠노라."
GYPSY_INTRO_4|나무 탁자 위에는 여덟 개의 병이 놓여 있고, 무지갯빛 액체들이 거품을 내며 빛나고 있다. "아바타의 미덕을 보시오," 여인이 말한다. "이제 선택을 시작합시다!"
GYPSY_COMPLETE|"아바타의 길은 그대의 발밑에 있소, 고귀한 %NAME%여," 집시 여인이 읊조린다. 그녀는 신비로운 미소를 지으며 반짝이는 액체가 담긴 플라스크를 건넨다. "이 물을 마시고 우리 백성들 사이로 나아가시오. 그들이 기쁨으로 그대를 맞이할 것이오!"
GYPSY_DRINK|플라스크의 물을 마시자 심한 현기증이 몰려온다. 포근한 안개가 집시 여인의 얼굴을 가리고, 그대는 아무런 두려움 없이 깊은 잠 속으로 빠져든다.
GYPSY_WAKE|그대는 다른 시간, 다른 세계의 해안가에서 눈을 뜬다. 아바타로서의 모험이 승리와 비극을 동시에 가져다주었으나, 그대는 결코 여덟 가지 미덕의 길에서 벗어나지 않았다.
GYPSY_SAGA|울티마 4와 울티마 5의 대서사시는 그대의 위험천만했던 여정을 기록하고 있으며, 그대의 이름과 행적은 브리타니아의 전설 속에 영원히 새겨져 있다....
GYPSY_READY|마침내, 미덕의 적들에 맞선 투쟁으로 단련된 그대는 울티마 6의 대서사시적인 도전에 응답할 준비가 되었음을 증명한다!

# === GYPSY QUESTIONS (28 Questions) ===
GYPSY_Q1|"금액을 확인하지 않은 금화 주머니를 전달해달라는 부탁을 받은 그대는 가난한 거지를 만났다. 그대는 A) 정직하게(Honestly) 금화를 전달하여 신뢰에 보답하겠는가, 아니면 B) 자애를(Compassion) 베풀어 어차피 확인하지 않을 금화 한 닢을 거지에게 주겠는가?"
GYPSY_Q2|"부재중인 주군으로부터 친구들이 참전한 격전지에 합류하지 말라는 명을 받았다. 그대는 A) 정직하게(Honestly) 명을 받들어 복종하겠는가, 아니면 B) 용기를(Valor) 발휘해 전우들을 돕고 나중에 그 사실을 부정하겠는가?"
GYPSY_Q3|"한 상인이 그대의 친구에게 갚아야 할 돈을 오랫동안 미루고 있다. 그러던 중 그 상인이 금화 주머니를 떨어뜨리는 것을 보았다. 그대는 A) 정직하게(Honestly) 주머니를 그대로 돌려주겠는가, 아니면 B) 정의의(Justice) 이름으로 친구의 몫을 먼저 떼어 주겠는가?"
GYPSY_Q4|"그대와 친구는 용감하지만 가난한 전사다. 둘은 함께 거대한 용을 처치하러 떠났다. 친구는 자기가 용을 죽였다고 생각하지만, 치명타를 입힌 것은 그대였다. 그대는 A) 정직하게(Honestly) 보상을 요구하겠는가, 아니면 B) 우정을 위해 금화를 포기하는 희생을(Sacrifice) 치르겠는가?"
GYPSY_Q5|"그대는 어떤 대가를 치르더라도 주군을 보호하겠노라 맹세했으나, 그가 죄를 지었음을 알고 있다. 관리들이 그대에게 사실을 묻는다. 그대는 A) 정직하게(Honestly) 말하여 맹세를 깨겠는가, 아니면 B) 맹세를 묵묵히 지켜 명예를(Honor) 고수하겠는가?"
