# Ultima 6 Intro Korean Translation
# Format: KEY|KOREAN_TEXT

# === LOUNGE SCENE ===
INTRO_LOUNGE_1|그대가 브리타니아로부터 영광스럽게 귀환한 지도, 이 세계의 시간으로 다섯 계절이 흘렀다.
INTRO_LOUNGE_2|그대는 아바타로서의 위험천만한 모험의 삶을 뒤로하고, 평화로운 세계의 고독한 평온함과 맞바꾸었다. 하지만 텔레비전 속의 초인들은 그대 곁에서 죽어간 친구들의 빈자리를 결코 대신할 수 없었다!
INTRO_LOUNGE_3|밖에서는 차가운 바람이 일기 시작하고...

# === STORM/WINDOW SCENE ===
INTRO_WINDOW_1|...순식간에 폭풍우가 그대를 덮친다.
INTRO_WINDOW_2|하늘을 가르는 번갯불은 끊임없이 휘몰아치는 천둥소리의 서곡인 듯 번득이고....
INTRO_WINDOW_3|빛과 소리의 거대한 소용돌이 속에서, 타오르는 푸른 불꽃의 벼락이 지면을 강타한다!
INTRO_WINDOW_4|돌무더기 사이에 내리친 번개! 이것은 저 멀리 브리타니아에서 온 신호인가?
INTRO_WINDOW_5|그대는 집 밖으로 뛰쳐나와 폭풍 속에서 비틀거리며 앞만 보고 달린다. 숲을 지나고, 오솔길을 내려가고, 빗줄기를 뚫고... 마침내 돌들이 서 있는 곳에 다다른다.

# === STONES SCENE ===
INTRO_STONES_1|돌 근처에 다다르자, 습하고 타버린 흙 냄새가 공중에 감돈다. 번개가 한낮처럼 사방을 밝힌 찰나의 순간, 그대는 원 중앙에 놓인 작은 흑요석 하나를 발견한다!
INTRO_STONES_2|의구심을 품은 채, 그대는 그것을 집어 든다....
INTRO_STONES_3|...그러자 돌들의 중심에서 부드럽게 빛나는 문이 정적 속에 솟아오른다!
INTRO_STONES_4|돌을 움켜쥐자 환희에 찬 기억들이 뇌리를 스친다. 예전에 이와 같은 보주를 보았을 때, 그것은 로드 브리티시께서 폭군 블랙손을 추방하기 위해 던지셨던 것이었다!
INTRO_STONES_5|하지만 기쁨은 곧 불안으로 바뀐다. 브리타니아로 향하는 문은 언제나 아침 하늘처럼 푸른색이었거늘...
INTRO_STONES_6|갑자기 관문이 진동하며 땅 밑으로 가라앉기 시작한다. 그 진홍빛 광채가 희미해져 간다!
INTRO_STONES_7|절박함이 선택을 결단으로 바꾼다.

# === ALTAR SCENE ===
INTRO_ALTAR_1|정신이 혼미한 채 관문을 빠져나오자, 그대는 황량한 평원에 서 있음을 깨닫는다. 근처에는 달빛 안개에 휩싸인, 룬이 새겨진 거대한 제단이 놓여 있다.
INTRO_ALTAR_2|평원은 적막에 잠겨 있다. 이윽고 수백 명의 목소리가 장례곡 같은 느린 노래를 부르며 한 걸음씩 다가온다. 그대는 도망치고 싶은 충동에 휩싸이지만...
INTRO_ALTAR_3|...갈 곳이 없다.
INTRO_ALTAR_4|그대를 에워싼 생물들에게 저항하기도 전에, 비늘 돋은 발톱들이 그대의 몸을 낚아챈다.
INTRO_ALTAR_5|괴물들은 초자연적인 힘으로 그대를 제단 바위 위에 묶어버린다!
INTRO_ALTAR_6|무릎을 꿇은 무리들이 몸을 흔들며 영창을 외우자, 위엄 있는 날개 달린 악몽 같은 존재가 앞으로 걸어 나온다.
INTRO_ALTAR_7|그 지도자는 벨벳에 싸인 구리 장식의 책을 펼치더니, 격식 있고 딱딱한 말투로 무언가를 낭독한다.
INTRO_ALTAR_8|사제가 책을 덮자마자 군중 사이에서 함성과 조롱이 터져 나온다. 그의 손에 든 불길한 단검에는 차가운 달빛이 맺혀 흐른다.
INTRO_ALTAR_9|그대는 눈을 감는다. 그대의 것으로 분명한 단말마의 비명이 공기를 얼어붙게 만든다.
INTRO_ALTAR_10|야유, 단검, 비명, 그리고 죽음....
INTRO_ALTAR_11|대혼란. 분노와 공포의 외침.
INTRO_ALTAR_12|피할 수 없는 파멸 속에서, 불가능한 구원이 나타난다.
INTRO_ALTAR_13|그대는 아직 살아 있다.
INTRO_ALTAR_14|고요한 붉은 빛이 어둠을 채운다. 석궁의 기계음이 들리고, 사제의 미간에 보랏빛 깃이 달린 장미 한 송이가 피어난다.
INTRO_ALTAR_15|새로 생긴 문게이트에서 친숙한 얼굴들이 뛰어오고, 화살 비가 쏟아져 분노한 무리들을 저지한다. 기사 듀프레의 검이 어둠 속에서 두 번 번뜩이며 그대를 묶은 밧줄을 끊어낸다!
INTRO_ALTAR_16|"서두르게, 오랜 친구여! 관문으로!" 검사 샤미노와 미소를 짓고 있는 음유시인 이올로가 석궁을 든 채 엄호하고, 듀프레가 그대의 손에 여분의 검 한 자루를 쥐여준다.
INTRO_ALTAR_17|쓰러진 사제의 책을 낚아챈 이올로가 붉은 관문 속으로 뛰어들고 샤미노가 그 뒤를 따른다. 울부짖는 군중들이 하나의 끔찍한 의지를 품고 파도처럼 몰려든다.
INTRO_ALTAR_18|그대와 듀프레가 뛰어들자 관문의 빛이 빠르게 사라져 가고...
INTRO_ALTAR_19|...하지만 충분히 빠르지는 않았다.
INTRO_ALTAR_20|군중의 선봉에서 세 마리의 흉측한 괴물들이 관문을 향해 기어오른다. 광기에 사로잡힌 그 생물들은 관문의 마지막 빛 줄기 속으로 자신들의 몸을 던진다!
