# Item descriptions - Korean translation (indexed by tile_num)
# Format: TILE_NUM|ENGLISH|KOREAN
# Reference: docs/ultima6/tileflag_data.txt

0|Nothing|아무것도 없음
1|grass|잔디
2|swamp|늪
3|swamp|늪
4|swamp|늪
5|shrub|관목
6|bush|덤불
7|bush|덤불
8|water|물
9|water|물
10|water|물
11|water|물
12|water|물
13|water|물
14|water|물
15|water|물
16|shore|해안
17|shore|해안
18|shore|해안
19|shore|해안
20|shore|해안
21|shore|해안
22|shore|해안
23|shore|해안
24|shore|해안
25|shore|해안
26|shore|해안
27|shore|해안
28|shore|해안
29|shore|해안
30|shore|해안
31|shore|해안
32|shore|해안
33|shore|해안
34|shore|해안
35|shore|해안
36|shore|해안
37|shore|해안
38|shore|해안
39|shore|해안
40|shore|해안
41|shore|해안
42|shore|해안
43|shore|해안
44|shore|해안
45|shore|해안
46|shore|해안
47|shore|해안
48|tree|나무
49|tree|나무
50|tree|나무
51|tree|나무
52|grass|잔디
53|grass|잔디
54|grass|잔디
55|grass|잔디
56|grass|잔디
57|grass|잔디
58|grass|잔디
59|grass|잔디
60|grass|잔디
61|grass|잔디
62|grass|잔디
63|grass|잔디
64|tree|나무
65|tree|나무
66|tree|나무
67|tree|나무
68|tree|나무
69|tree|나무
70|tree|나무
71|tree|나무
72|dead tree|죽은 나무
73|scrub|덤불
74|scrub|덤불
75|scrub|덤불
76|scrub|덤불
77|scrub|덤불
78|shrub|관목
79|earth|흙
80|earth|흙
81|earth|흙
82|earth|흙
83|earth|흙
84|earth|흙
85|earth|흙
86|earth|흙
87|earth|흙
88|earth|흙
89|earth|흙
90|earth|흙
91|earth|흙
92|earth|흙
93|earth|흙
94|earth|흙
95|earth|흙
96|embankment|둑
97|embankment|둑
98|embankment|둑
99|embankment|둑
100|embankment|둑
101|embankment|둑
102|embankment|둑
103|embankment|둑
104|embankment|둑
105|embankment|둑
106|embankment|둑
107|embankment|둑
108|earth|흙
109|earth|흙
110|earth|흙
111|earth|흙
112|mountain|산
113|mountain|산
114|mountain|산
115|mountain|산
116|mountain|산
117|mountain|산
118|mountain|산
119|mountain|산
120|mountain|산
121|mountain|산
122|mountain|산
123|mountain|산
124|mountain|산
125|snowcaps|눈덮인 봉우리
126|snowcaps|눈덮인 봉우리
127|snowcaps|눈덮인 봉우리
128|snowcaps|눈덮인 봉우리
129|snowcaps|눈덮인 봉우리
130|snowcaps|눈덮인 봉우리
131|snowcaps|눈덮인 봉우리
132|snowcaps|눈덮인 봉우리
133|snowcaps|눈덮인 봉우리
134|snowcaps|눈덮인 봉우리
135|snowcaps|눈덮인 봉우리
136|snowcaps|눈덮인 봉우리
137|snowcaps|눈덮인 봉우리
138|snowcaps|눈덮인 봉우리
139|snowcaps|눈덮인 봉우리
140|wall|벽
141|wall|벽
142|wall|벽
143|wall|벽
144|wall|벽
145|wall|벽
146|wall|벽
147|wall|벽
148|wall|벽
149|wall|벽
150|wall|벽
151|wall|벽
152|wall|벽
153|wall|벽
154|wall|벽
155|wall|벽
156|wall|벽
157|wall|벽
158|wall|벽
159|wall|벽
160|wall|벽
161|wall|벽
162|wall|벽
163|wall|벽
164|wall|벽
165|wall|벽
166|wall|벽
167|wall|벽
168|wall|벽
169|wall|벽
170|wall|벽
171|wall|벽
172|wall|벽
173|wall|벽
174|wall|벽
175|wall|벽
176|wall|벽
177|wall|벽
178|wall|벽
179|wall|벽
