# UI Text Translations - Korean
# Format: ENGLISH|KOREAN

# Command Bar Actions
Attack|공격
Cast|주문
Talk|대화
Look|살펴보기
Get|집기
Drop|버리기
Move|이동
Use|사용
Rest|휴식
Combat mode|전투 모드
Load/Save|불러오기/저장
Quick save|빠른 저장
Quick load|빠른 불러오기

# Common UI
Yes|예
No|아니오
Cancel|취소
OK|확인
Done|완료
Exit|종료

# Inventory
Inventory|인벤토리
Weight|무게
Gold|금
Food|식량
Armor|방어구

# Stats
Strength|힘
Dexterity|민첩
Intelligence|지능
Level|레벨
Experience|경험치
Health|체력
Magic|마나

# Directions
North|북
South|남
East|동
West|서
Up|위
Down|아래

# Time
Dawn|새벽
Morning|아침
Noon|정오
Afternoon|오후
Evening|저녁
Night|밤
Midnight|자정

# Combat
Hit|명중
Miss|빗나감
Dead|사망
Flee|도주

# Messages
You see|그대가 보기에
You get|그대는 얻는다
You drop|그대는 버린다
You use|그대는 사용한다
Nothing|아무것도 없음
Locked|잠김
Unlocked|잠금 해제

# Character Names (Party Members) - 파티원
Avatar|아바타
Shamino|샤미노
Iolo|이올로
Dupre|듀프레
Jaana|자나
Mariah|마리아
Geoffrey|제프리
Julia|줄리아
Katrina|카트리나
Sentri|센트리
Gwenno|그웨노
Blaine|블레인
Seggallion|세갈리온
Leodon|레오돈
Beh Lem|베렘

# Major NPCs - 주요 NPC
Lord British|로드 브리티시
Nystul|니스툴
Chuckles|처클스
Sherry|셰리
Tholden|톨덴
Dr. Cat|닥터 캣
Captain Fox|폭스 선장
Captain John|존 선장
Smith|스미스

# Britain NPCs - 브리튼
Kenneth|케네스
Nan|난
Ariana|아리아나
Matt|매트
Anya|아냐
Gwenneth|그웨네스
Peyton|페이튼
Max|맥스
Lazeena|라지나
Fyodor|표도르
Daver|데이버
Efram|에프람
Rufus|루퍼스
Nema|네마
Cullen|컬렌
Tiberius|티베리우스
Wilbur|윌버
Arty|아티

# Yew NPCs - 유
Lynn|린
Terri|테리
Kytyn|키틴
Maldric|말드릭
Thariand|타리안드
Ephemerides|에페메리데스
Xiao|시아오
Dargoth|다르고스
Rob|롭
Aganar|아가나르
Manrel|만렐
Penumbra|페넘브라
Derydlus|데리들루스
Zellivan|젤리반
Nicodemus|니코데무스
Boskin|보스킨
Lenora|레노라

# Minoc NPCs - 미녹
Selganor|셀가노르
Tara|타라
Michelle|미셸
Aaron|아론
Dale|데일
James|제임스
Trebor|트레버
Troy|트로이
Doris|도리스
Sandy|샌디
Whitsaber|휘트세이버
Lawrence|로렌스
Isabella|이사벨라

# Trinsic NPCs - 트린식
Harold|해롤드
Brandon|브랜든
Immanuelle|임마누엘레
Tobatha|토바사
Trenton|트렌튼
Gideon|기드온
Stivius|스티비우스
Marta|마르타

# Skara Brae NPCs - 스카라 브래
Yorl|요를
Dezana|데자나
Horance|호랜스
Marney|마니
Michael|마이클
Quenton|퀜튼

# Jhelom NPCs - 젤롬
Antonio|안토니오
William|윌리엄
Conor|코너
Charlotte|샬롯
Dunbar|던바
Aurendir|아우렌디르
Patrick|패트릭

# Moonglow NPCs - 문글로우
Thindle|신들
Mortude|모르투드
Marissa|마리사
Arbeth|아베스
Grison|그리손
Dorin|도린
Merideth|메리데스
Hendle|헨들
Ubermon|우버몬
Timothy|티모시

# Cove NPCs - 코브
Nomaan|노만
Stelnar|스텔나르
Van Kellian|반 켈리안
Heftimus|헤프티무스
Lyssandra|리산드라
Culham|컬햄
Jerris|제리스
Arvin|아빈
Martin|마틴
Peer|피어
Ben|벤
Le'nard|레나드
Andrea|안드레아
Utomo|우토모

# Paws NPCs - 포즈
Elad|엘라드
Leonna|레오나
Budo|부도
Homer|호머
Johann|요한
Shawn|숀

# Buccaneer's Den NPCs - 해적 소굴
Petroph|페트로프
Enrik|엔릭
Fentrissa|펜트리사
Gilron|길론
Artegal|아테갈
Gertan|게르탄
Ed|에드
Sasha|사샤
Ahrmaand|아르만드

# New Magincia NPCs - 뉴 마진시아
Rudyom|루디옴
Sutek|수텍
Pushme Pullyu|푸쉬미 풀유
Gorn|고른
Zoltan|졸탄
Karina|카리나
Kador|케이더
Taynith|테이니스
Arturos|아투로스
Andreas|안드레아스
Wanda|완다

# Empath Abbey NPCs - 공감의 수도원
Sin'Vraal|신브랄
Bonn|본
Papa|파파
Mama|마마
Myles|마일스
Glen|글렌

# Serpent's Hold NPCs - 뱀의 요새
Sylaina|실라이나
Stephanie|스테파니
Faren|파렌
Zeke|지크
Eckhart|에크하르트
Gherick|게릭
Shubin|슈빈
Amanda|아만다
Caradon|카라돈
Morchella|모르첼라
de Hugh|드 휴
Loubet|루베
Koranada|코라나다

# Other NPCs - 기타 NPC
Simon|사이먼
Tessa|테사
Finn|핀
Bolesh|볼레쉬
Pridgarm|프리드가름

# Gargoyle NPCs - 가고일
Caretaker|관리자
Draxinusom|드락시누솜
Naxatilor|낙사틸로르
Valkadesh|발카데쉬
Lensmaker|렌즈공
Snake Charmer|뱀 조련사
Goodscrafter|물건공
Healer|치료사
