# Korean book/sign/scroll translations for Ultima 6
# Format: BOOK_NUM|KOREAN_TEXT
# Use \n for line breaks

# === Signs and plaques (0-44) ===
0|영구 운동 기계.
1|왼쪽: 신비의 분수.\n\n오른쪽: 에너지 장벽.
2|단석.
3|조그의 뼈.
4|용의 유물.
5|낙농장
6|도축장
7|집 매물.
8|짐승을 조심하라!
9|수도원 묘지
10|무기는 탁자 위에 두십시오.
11|겸손의 우물
12|이쪽으로!
13|캔트렐의 지하 납골당
14|스펙터의 지하 납골당
15|말론의 지하 납골당
16|부르보네의 지하 납골당
17|베이빈의 지하 납골당
18|자나티의 지하 납골당
19|로메로의 지하 납골당
20|드와이어의 지하 납골당
21|가브리엘라의 지하 납골당

# Gargoyle signs (22-35)
22|<소용돌이 방, 출입 금지>&\n소용돌이 방 - 출입 금지&
23|<인간 방>&\n인간 방&
24|<서고 방>&\n서고 방&
25|<예언자 낙사틸로르>&\n예언자 낙사틸로르&
26|<드락시누솜 영주>&\n드락시누솜 영주&
27|<치료사>&\n치료사&
28|<상인>&\n상인&
29|<요리사>&\n요리사&
30|<무기공>&\n무기공&
31|<지식의 전당>&\n지식의 전당&
32|<제물 제단>&\n제물 제단&
33|<이곳에 희생된 자들의 명예로운 유해가 안치되어 있다.>&\n이곳에 희생된 자들의 명예로운 유해가 안치되어 있다.&
34|<이 방 안에 왕들의 뼈가 잠들어 있다.>&\n이 방 안에 왕들의 뼈가 잠들어 있다.&
35|<이곳에 이름 없는 자들이 잠들어 있다.>&\n이곳에 이름 없는 자들이 잠들어 있다.&

# Street signs (36-44)
36|<아바타 거리>
37|<벨리어 거리>
38|<뱀의 고리길>
39|<왕의 길>
40|<영성의 길>
41|밧줄 공방
42|실 공방
43|<긴 행랑>
44|<미꾸라지 길>

# === Scrolls and notes (45-53) ===
45|이 두루마리에는 로드 브리티시의 천문 관측 기록이 가득합니다.
46|"사촌 만렐이 사랑을 담아."
47|단서를 찾고 있다면, 서펜트 홀드의 화분 아래에 무언가가 있습니다.
48|다음 힌트는 미녹의 벌집 아래에 있습니다.
49|잘하고 있군요! 다음은 블루 보틀 여관의 하프시코드를 수색하세요.
50|잘했어요! 이제 유의 감옥에 있는 침대를 수색하세요.
51|대부분의 사람들은 이쯤에서 포기했을 텐데... 하지만 포기하지 않았으니, 다음 힌트는 뉴 마진시아의 가마솥 아래에 있습니다.
52|거의 다 왔어요! 로드 브리티시 성의 돌사자를 수색하세요.
53|호 에요 헤 흠! 이겼어요, 이겼어요! 이올로의 오두막에 가서 말 스미스에게 @단서를 물어보세요!

54|이올로의 집

# === Books (55-76) ===
55|볼드윈의 제빵 대백과\n\n    어떤 이들은 비웃을지 모르지만, 빵, 페이스트리, 파이, 케이크를 만드는 것은 인생에서 가장 고귀한 소명 중 하나입니다. 이 책을 주의 깊게 공부하면, 언젠가 이 엄청난 책임을 맡을 준비가 될 것입니다.

56|휴버트의 머리카락이 쭈뼛 서는 모험\n\n 빌 피트 글/그림\n\n 휴버트 사자는 오만하고 허영심이 강했네,\n 특히 우아한 갈기를 자랑스러워했지.\n 하지만 이런 자만심은 전혀 바람직하지 않아,\n 휴버트 사자는 몰락할 운명이었네.

57|이 책은 "엠파이어호"라는 배의 항해일지인 것 같습니다. 마지막 기록은 큰 보물을 묻은 것과 선원들의 불만이 커져가는 것에 대해 말하고 있습니다. 끝에 다른 필체로 급하게 휘갈겨 쓴 메모가 있습니다: "호킨스 선장은 더 이상 항해일지를 쓸 수 없을 거야."

58|잃어버린 열기구 기술\n\n    아바타의 탐색 시절, 하늘에서 이상한 광경을 봤다는 소문이 퍼졌습니다. 미녹 마을의 한 땜장이가 잃어버린 열기구 기술을 재발견했다고 주장했습니다. 고대 전승에 따르면, 이것은 새보다 더 높이 하늘을 날 수 있게 해주는 신비한 기술이었습니다. 이 위업을 수행하는 데 사용된 의식의 기록은 발견되지 않았지만, 그 지역의 여러 농부들이 여전히 이상한 광경에 대해 이야기합니다. 이상한 구체가 하늘 높이 보였고, 거기서 사람들의 목소리가 들려왔다고 합니다. 그 환영은 구름 속으로 떠올라 시야에서 사라졌습니다. 이것은 몇 년 전의 일이고, 그 이후로 열기구의 신비한 기술에 대해서는 아무것도 들리지 않았습니다.

59|가고일 전승에 관한 논문 - 놀릭 원로 저\n\n    가고일은 대부분의 사람들에게 단순한 전설로 여겨지지만, 많은 성을 장식하는 가고일 "조각상"의 기원을 기록한 문서는 존재하지 않습니다. 심지어 궁극의 지혜서의 거대한 석상 수호자들도 "전설적인" 가고일의 많은 신체적 특징을 가지고 있습니다. 그들이 어디서 왔는지 아는 사람도 없는 것 같습니다. 확실한 증거가 부족함에도 불구하고, 살아있는 가고일 목격에 대한 미확인 보고가 상당수 있었습니다. 이 저자의 의견으로는 데몬이 가고일의 한 형태입니다. 데몬과의 신뢰할 만한 조우가 여러 학술 저작에 기록되어 있으므로, 아마도 이것이 가고일에 대한 추가 정보의 가장 좋은 출처일 것입니다.

